Code,Description,ViolationGroup
CMR410.750 G,"Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide adequate exits, or the obstruction of any exit, passageway or common area caused by any object, including garbage or trash, which prevents egress in case of an emergency 105 CMR 410.450, 410.451 and 410.452.",safety
CMR410.750 I,"Conditions Deemed to Endanger or Impair Health or Safety - Failure to comply with any provisions of 105CMR 410.600, 410.601, 410.602 which may provide a food source or harborage for rodents, insects or other pests or otherwise contribute to accidents or to the creation or spread of disease.",safety
CMR410.750 K,"Conditions Deemed to Endanger or Impair Health or Safety - Roof, foundation, or other structural defects that may expose the occupant or anyone else to fire, burns, shock, accident or other dangers or impairment to health or safety.",safety
CMR410.482 C,Smoke Detectors & Carbon Monoxide Alarms - Board of Health shall not impose additional requirements if local fire dpmt found dwelling to be adequately equipped.,safety
CMR410.200 B,"Heating Facilities - Portable space heaters, any similar heaters having a barometric fed fuel control, as well as the type of heating appliance adapted for burning kerosene, shall not be used and shall not meet the requirements.",safety
Art. 15 Adopts Chp. 110.1 2[c],Work without permit,rules
CMR410.600 D,"Storage of Garbage & Rubbish - The occupants of each dwelling, dwelling unit, and rooming unit shall be responsible for the proper placement of his garbage and rubbish in the receptacles required in 105 CMR 410.600C",trash
248CMR 3.05b,Requirements.,rules
248CMR 5.04 4.4,Workmanship,neg
107.2.5,Site Plan,rules
CMR410.300,Drainage System - Owner shall provide a sanitary drainage system connected to the public sewerage system.,rules
110.3.11,Workmanship,neg
110.1,Inspections,rules
115.2,Failure to call for req Insp.,rules
106.5,Certificate of Inspection,rules
CMR410.352 A,"Occupants Installation/Maintenance Responsibility - Occupant shall install in accordance with all acceptable codes plumbing, gas fitting and electrical; and maintain",neg
3603.16.10,Smoke Detectors,safety
111.12,Revocation of Certificate,rules
111.4,Revocation of CoO,rules
713.3,Fire Resistance; Rated Walls,safety
1006,Means of Egress Illumination,safety
1014.2(3),Exit Access,safety
110,Application for Permit,rules
110.11,Deteriorating Agents,safety
110.14,Electrical Connections,safety
400.8,Uses not permitted,rules
420.2,Seperation Walls,safety
115(IEBC),Unsafe bldg&equip.,safety
901.7.2,Maintenance,maint
23b,Shopping Cart - 2,neg
CMR410.251 A & B,Electrical outlets/Light Fixture-kitchen - 1  electric light fixture; and 2 wall-type outlets located in convenient locations.,rules
CMR410.600 B,"Storage of Garbage & Rubbish - Plastic bags shall be used to store garbage or mixed garbage or rubbish only, if used as a liner in watertight receptacles with tight-fitting covers as required in Regulation 410.600A",trash
CMR410.602 C,"Maint. of Areas Free from Garbage & Rubbish - Dwelling that contains 3 units or less, occ shall be responsible for maintaining in a clean & sanitary condition, free of garbage & filth the stairways leading/landing adjacent to his unit if.",trash
1003.3.4,Clear Width,safety
1021.3,Exit Continuity,safety
116.4,Failure to remove or make,neg
Art. 17 Section 2.04 (3) ,Permits,rules
Art 511,Improper Electrical Repair,safety
R115.1,Unsafe & Dangerous,safety
CMR410.504 B & C,Non-Absorbent Surfaces - A non-absorbent wall surface of a bathroom up to 4 ft; shower compartment no less than 6 ft.,rules
CMR410.750 J,Conditions Deemed to Endanger or Impair Health or Safety - The presence of leadbased paint on a dwelling or dwelling unit in violation of 105 CMR 460.000: Lead Poisoning Prevention and Control.,safety
101.5,Specialized codes,rules
CMR410.750 A,"Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide a supply of water sufficient in quantity, pressure and temperature, both hot and cold, to meet the ordinary needs of the occupant in accordance with 105 CMR 410.180 and 410.190 for a period of 24 hours or longer.",safety
1029.4,Operational Constraints,rules
9c,Illegal dumping 5+ cubic yd,trash
CMR410.350 B,Plumbing Connections - Toilet shall be connected to water distribution system and  sanitary drainage system.,rules
CMR410.601 A,"Collection of Garbage & Rubbish - Owner of any dwelling that contains 3 or more dwelling units, rooming house, and the occ. of any other unit shall be responsible for the final collection or ultimate disposal or incineration of garbage and rubbish by means of regular municipal Collection Sys.",trash
CMR410.851,Hearing Notice,rules
CMR410.501C,"Weathertight Structual Elements - Exterior/interior, walls, floors, ceilings, cracks and spaces are caulked and filled to prevent infiltration of exterior air or moisture.",maint
CMR410.820,Inspection Upon Request,rules
1021.1,Minimum Number of Exits,safety
3109.2,Any structure for swimming,rules
348.3,Flexible Metal Conduit,rules
r116.2,Unsafe and Dangerous,safety
Ch.16-26.4,Reg. of Construction Hour,rules
230.7,Disconnecting Means Service,rules
CMR410.750 B,Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide heat as required by 105 CMR 410.201 or improper venting or use of a space heater or water heater as prohibited by 105 CMR 410.200(B) and 410.202,safety
CMR410.750 C,"Conditions Deemed to Endanger or Impair Health or Safety - Shutoff and/or failure to restore electricity, gas or water.",safety
CMR410.750 D,"Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide the electrical facilities required by 105 CMR 410.250(B), 410.251(A), 410.253 and the lighting in common area required by 105 CMR 410.254.",safety
230.54,Electrical Service Conduit,rules
R110.1,Occupancy,rules
709,Fire Walls,safety
501.2,International Mechanical Code,rules
Article 248 CMR:,Permits to perform gas fitting,rules
107.2.1,Information on Documentation,rules
521 CMR 3.5,Work Performed Over Time,rules
"780 CMR , Chapter 27",Mass. State Electrical Code,safety
1027.6,Access to Public Way,rules
CMR410.355,Provisions of Oil - Owner shall provide oil for heating/hot water unless a seperate tank serves that unit.,rules
37,Maintain vacant/foreclose prop,maint
804.3,Testing an Identification,rules
1106.3,Illumination,rules
906.2,Portable fire extinguishers,safety
108.1.3,Unfit for Human Occupancy,rules
110.12(C),Elec. Equip. & Connections,safety
300.11,Securing and Supporting,safety
312.5(A),Openings to be closed.,neg
760.24A,Mechanical Execution of Work,neg
240.24E,Not Located in Bathrooms,rules
1001.3,Egress Maintenance,maint
300.15,"Boxes, Where Required",safety
903.6,Automatic Sprinkler System,safety
CMR410.401 A,Ceiling Height - Room not considered habitable if more than 3/4 of floor to Ceiling height is less than 7 ft.,rules
42,Vacant Property (Ch 111-122),rules
20b,Large building recycling - 2,trash
CMR410.750 L,"Conditions Deemed to Endanger or Impair Health or Safety - Failure to install electrical, plumbing, heating and gasburning facilities in accordance with accepted standards or failure to maintain such facilities as are required by 105CMR 410.351 & 410.352.",safety
CMR410.750 N,Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide a smoke detector or carbon monoxide alarm required by 105 CMR 410.482.,safety
Art. 248 CMR,Permits to perform gas fitting,rules
R5121,Unsafe and Dangerous,safety
1022.1,Exit Enclosures,safety
CMR410.253 B,Light fixtures other that in Habitable rooms or kitchen - Owner shall provide working incandescent light bulbs or fluorescent tubes in all required light fixtures in all common areas.,rules
307,Hazard Materials,safety
10a,Illegal dumping park,trash
CMR410.354 E,"Metering of Electricity, Gas and Water -Occupant Shall have access to any water submetering to ensure it is functioning properly.",rules
901.3,Modification fire protection,safety
110.13(A),Mounting & Cooling Equipment,neg
1208.3,Room Area,rules
5311.4.1,Egress,safety
CMR410.400 B,"Minimum square footage (Sleeping) -Room for sleeping, at least 70 sq. ft. of fl space; if more than 1 occ. at least 50 sq. ft.",rules
12,Illegal dumping Const debris,trash
110.26(A),Space About Electrical Service,safety
230.23(A),Service Size & Rating,rules
314.28(A),Pull & Junction Box,rules
CMR410.354 B,"Metering of Electricity, Gas and Water - If required by owner, Electrical or Gas maybe be metered through meters serving multiple units.",rules
521 CMR Sec 24,Ramps,rules
43,Board Up Property (Ch 139-3A),rules
CMR410.831,Dwellings Unfit for Human Habitation; Hearing; Condemnation; Order to Vacate; Demolition,neg
R311.1,Means of Egress,safety
248 CMR Sec 10.02,Principle #18,rules
5113.3,Compliance with Permit,rules
34,Littering,trash
3303.2,Pedestrian Protection,safety
3306.1,Protection of Adj. Property,neg
3306.2,Walkways,rules
110.26(3),Personal Doors,rules
110.12b,Integrity of elec. equipment,safety
334.12,Uses not Permitted,rules
Chapter 143 Sec L,Working Without a Permit,rules
Chapter 143 MGL, Mass. State Plumbing Code,rules
102.2,Other Laws,rules
R105.6,Suspension or Revocation,rules
r109.3,Failure to call Inspections,rules
R114.2,Unlawful Continuance,rules
Article 9 Section 9-1A,"Hours operation, nonconforming",rules
314.23(2),Support Wires,safety
334.15(B),Type NM Cable,rules
107.7,Wiring Integrity,safety
110.12(A),Unused openings,neg
110.12(B),Integrity of Elec. Equip.,safety
110.9,Interrupting Rating,safety
1009.11,Hand Rails,safety
104.2,Applications & Permits,rules
Chapter 141,Supervision of Electricians,rules
907.2.9,Fire  & Smoke Alarm Systems,safety
9-3.2,Street Numbers,rules
105.5,Expiration,rules
1023.4,Exit passageways,safety
121,Unsafe Structure,safety
110.3,Required Inspections,rules
102.2.2,Municipal Bylaws or Ordinances,rules
114.3,Enforcement,rules
110.18,Arcing Parts,safety
6.2.5,Prohibited Locations,rules
"Article 65,sect 65-3961",Abutting a public street,rules
5.3.1,I.S.S.U,rules
110.27(A),Guarding of Live Ports,safety
1020,Exits,safety
415.8.5.22,Liquid Storage Rooms,rules
760.24B,Circuit Intensity,safety
IMC Sec 507.2,Commercial Kitchen Hoods,neg
230.3,Meter Tapping,rules
2.6,Maintenance Access Features,maint
110.8,Wiring Methods,safety
1018.3,Corridor Obstruction,safety
105,Permits,rules
907.6.5,Monitoring Fire Alarm Systems,safety
10c,Illegal dumping 5 cubic yd.,trash
906,Portable Fire Extinguishers,safety
1008.1,Means of egress doors,safety
720.5,Fire Separation Assemblies,safety
5121.1,Unsafe & Dangerous,safety
"Article 85,sect.4-2",City Zoning Code,rules
1008.3,Means of egress;Turnstiles,safety
30c,Crying out wares - 3,safety
1012.1,Handrails/safety,safety
Art. 15 Adopts Chp. 110.27 ,Electrical equipment integrity,safety
Art. 334.12,Uses Not Permitted,neg
Art.334.15,Exposed work,safety
1607,Live loads(roof),safety
1807.3,Imbedded posts&poles,rules
907.19,Fire Alarm Systems,safety
315.1,Carbon monoxide alarms,safety
705.4,Fire Wall/Fire Resistance,safety
5111.1,Failure to Secure Permit,rules
r106.4,Amended Constuction documanets,rules
248CMR10.10(12)(B)1,Waste Water,rules
39b,Sign: Zoning Code Art 11-2&sub,rules
907.2.1.2,Fire Alarm Ent. Response,safety
r105.8.1,Workmanship,neg
1001.2,Minimum Requirements,rules
230.79,Size and Rating,rules
116.7,Wiring Integrity,safety
120.1,Illegally occupied prior to CO,rules
121.1,Unsafe and Dangerous,safety
R314.3,Smoke alarm locations,safety
210.8(A)(G),No GFCI in Kithen,rules
604.1 IEBC,General Repairs,maint
AG105.2,Pool barrier,safety
R114,STOP WORK ORDER,rules
116,Unsafe Structures,safety
240.2,Ungrounded Conducters,safety
230.27,Means of Attachment,rules
107.2,Construction Documents,rules
1003.4,Floor Surface,rules
1009.12,Handrails,rules
808.1.1.2,Acoustical Ceiling Systems,rules
300,Securing and supporting,safety
315.5A,Openings to be closed,safety
R104.6,Right of Entry,rules
113.2,Failure to Comply w Bldg Code,rules
5105.1,Failure to Secure Permit,rules
110.3a,"Examination,identify,install",rules
28,Illegal vending: fruit,rules
3306,Protection of Pedestrians,safety
Art. 230.24,Clearance,safety
108.2,Locks and Latches (Gate),safety
310.2,Maintenance of Facilities,maint
590.2,Temporary Wiring Methods,safety
R109.1,Failure to secure inspections,rules
1014.2,Egress thru Intervening Spaces,safety
3400.5,Hazrdous Means of Egress,safety
5121,Unsafe Structures,safety
105.1.1,Certificate of Inspection,rules
1015.2.1,2 Means of Egress Required,safety
527 CMR 12:00,Rule 10,rules
310.15.3,Wiring,safety
R105,Permits,rules
Art. 11 Sec. 2-F,On Premise Signs,rules
225.19,Horizontal Clearances,rules
MGL Chapter 141,Electrical Work w/out Permit,rules
R310,Emergency Escape,safety
162.2,Unsafe Structures,safety
1017.1,Corridors,rules
Article 9 Section 9-3,Effect of Non-Conforming Use,rules
2801.2.1,Mechanical Code,rules
408.7,Unused Openings,neg
3109.4.1.7,Gates,safety
R114.1,Unsafe Structures,safety
5121.2,Unsafe & Dangerous,safety
709.4,Continuity,rules
708.14.1,Elevator Lobbies,rules
110.12 (c),Integrity of,safety
312.5 (A),Openings to be closed,neg
1009.2,Means of Egress; Headroom,safety
210.25 A,Dwelling unit branch circuits.,rules
210.25 B,Common area branch circuits,rules
14b,Illegal dumping  vehicle:,trash
10,Means of Egress,safety
314.28,Pull & Junction Boxes,safety
780 CMR; 110.7,Wiring Intensity,safety
386.1,"Installation, uses permitted",rules
386.12,Uses not permitted,rules
1013.1,Guards Where Required,safety
119.1,Stop Work Order,rules
3303.5,Water Accumulation,rules
780 CMR 110.7,Periodic Inspections,rules
250.6 (A) (B) (1)(2)(3),Objectionable Current,safety
907.211.1,Smoke Alarms,safety
314.15,Damp or Wet Locations,neg
5111.12,Revocation of Permits,rules
5120,Certificate of Occupancy,rules
5301.1,Design,rules
106.1,Unsafe Building & Structures,safety
30a,Crying out wares- 1,neg
CMR 110.7,Periodic Inspections,rules
1606.2,Dead Load,rules
527 CMR 12.00,2011 Mass Elec. Code Rule 1,safety
R115,Unsafe & Dangerous,safety
111,Certificate of Occupancy,rules
904,Maintenance/Fire Protection,safety
903,Maintenance/Fire Protection,safety
Art. 300.15,Boxes Where Required,safety
Art. 110.13(a),Mounting Elec. Equipment,safety
Art. 2A.1,Boston Zoning Code,rules
13,Illegal dumping: Haz Waste,trash
314,Smoke Alarms,safety
1008.1.9.4,Bolt Locks,safety
5113.2,Failure to Comply w. Code,rules
1203.4.2.1,Bathrooms,rules
"780 CMR, Chapter 27",Illegal Temporary Wiring,safety
2801,Mechanical,neg
907.2.10,Smoke Detectors,safety
Section 11.2(c),Signage,rules
3306.8,Repair,neg
5313.2.7,Fire Warning Systems,safety
915,Carbon Monoxide Protection,safety
108.7,Unsafe Mechanical Equipment,safety
110.16,Arc-Flash Hazard Warning,safety
314.72,Boxes Construct & Install,safety
1028.1,Fire Escape Affidavit,rules
5103,Maintenance,maint
Art. 215.3,Overcurrent Protection,safety
907.2.112,Fire Alarm & Detection,safety
110.3.8,Other Inspections,rules
1001.3.1,Obstructions,safety
Art. 665 Sec. 19-1,Side Yard Requirements,rules
5311.2.1,Attachment,rules
250.24 D,Grounding electrode conduction,safety
33.02,Construction Safeguards,safety
400.7,Excessive Use of Ext. Cords,safety
5112.1,Unsafe & Dangerous,safety
121.3,Removal/Making Structure Safe,safety
111.11,Use & Occupancy,rules
103.2,Unsafe Maintanence,safety
103,Maintenance,maint
107.2.4,Exterior Wall Envelope,rules
314.41,Covers,rules
110 R5.2.7,False Statements,rules
110 R5.2.12,On-Site Presence of Supervisor,rules
118.4,Violation penalties,rules
1018.1,Egress,safety
121.5,Rem Dangerous/Abandoned Struct,safety
352.3,Securing and Supporting,safety
108.3.5.3,Licensed Supervisor,neg
708.4,Fire Partitions,safety
1028.3,Testing & Certification,rules
5120.1,Building Illegally Occupied,rules
102.5.5,Hazardous Means of Egress,safety
1203,Ventilation,neg
110.26(B),Electrical Rm Used for Storage,safety
5117.1,Workmanship,neg
118.1,Unlawful Acts,rules
240.24(A),Elevated Electrical Room,neg
1023.6,Access to a Publicway,rules
120,Certificate of Occupancy,rules
907.16,Acceptance Tests,rules
119,Stop Work Order,rules
5311.4.4,Door Locks,safety
119.2,Unlawful Continuance,rules
32,Abusive Language In Solicitati,rules
Article 8-7,Outdoor Sale & Display,rules
710.6,Penetrations & Joints,safety
121.4,Remove/Making Safe Structure,safety
Art. 67-11,Outdoor Sale & Display,rules
820.2,Abandoned Cable,neg
5313.4,Carbon Monoxide Detectors,safety
5313.2.9,Smoke Detectors,safety
123,Unsafe and Dangerous,safety
Art. 15 Adopts Chp. 143.S 3L,Guarding of live parts,safety
110.26E,Spaces About Elect. Equip.,safety
123.1,Unsafe and Dangerous,safety
5110,Application for permit,rules
120.2,Buildings hereafter altered,rules
230.26,Point of Attachment,rules
6106.2.2,Basements,rules
Art. 110.11,Deteriorating Agents,neg
11,Illegal dumping solid waste,trash
5102.5.1,Emergency Escape & Rescue,safety
230.9,Clearance on Buildings,rules
5311.6.2,Landings Required,rules
5117,Workmanship,neg
5110.6,Permit Secured by Owner,rules
5116.1,Services During Construction,rules
5310,Emergency Escape and Rescue Op,safety
113,Compliance with Permit,rules
3603.6.8.2,Fences,rules
1023.1,Exit Signs & Lights,safety
31,Use of propelled novelty,safety
36,Illegal Dumping (vehicle),trash
